0 classes, kappa=0.150   0.000	1.189	0.958	1.223	1.051	1.113	0.999	1.060	0.792	0.793	0.684	0.368	
0 classes, kappa=0.200   0.000	1.490	1.313	1.472	1.359	1.474	1.345	1.499	1.234	1.370	1.176	0.936	
0 classes, kappa=0.250   0.000	1.179	1.229	1.306	1.390	1.449	1.465	1.534	1.466	1.429	1.428	1.104	
0 classes, kappa=0.300   0.000	1.114	1.107	1.107	1.181	1.180	1.197	1.269	1.216	1.185	1.182	1.014	
0 classes, kappa=0.350   0.000	0.886	0.989	1.048	1.130	1.220	1.237	1.294	1.300	1.298	1.281	1.074	
0 classes, kappa=0.400   0.000	0.974	1.164	1.209	1.320	1.422	1.455	1.497	1.488	1.414	1.356	1.134	
0 classes, kappa=0.450   0.000	0.794	0.803	0.930	0.976	1.015	1.045	1.049	1.081	1.058	1.070	0.939	
0 classes, kappa=0.500   0.000	0.484	0.617	0.674	0.738	0.741	0.756	0.776	0.798	0.787	0.833	0.890	
0 classes, kappa=0.550   0.000	0.339	0.418	0.466	0.522	0.598	0.680	0.753	0.850	0.865	0.978	0.921	
0 classes, kappa=0.600   0.000	0.291	0.195	0.226	0.287	0.325	0.388	0.481	0.560	0.618	0.701	0.641	
0 classes, kappa=0.650   0.000	0.247	0.281	0.304	0.337	0.371	0.394	0.448	0.430	0.474	0.499	0.570	
0 classes, kappa=0.700   0.000	0.118	0.128	0.141	0.158	0.183	0.205	0.258	0.320	0.382	0.445	0.690	
0 classes, kappa=0.750   0.000	0.076	0.064	0.101	0.121	0.149	0.171	0.218	0.272	0.261	0.347	0.588	
0 classes, kappa=0.800   0.000	0.081	0.063	0.069	0.083	0.090	0.112	0.151	0.188	0.256	0.324	0.517	
0 classes, kappa=0.850   0.000	0.000	0.014	0.028	0.038	0.056	0.064	0.086	0.125	0.197	0.259	0.588	
0 classes, kappa=0.900   0.000	0.000	0.000	0.000	0.010	0.015	0.027	0.033	0.039	0.094	0.105	0.392	
0 classes, kappa=0.950   0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.010	0.052	0.056	0.347	
0 classes, kappa=1.000   0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022	0.019	0.280	
3 classes, kappa=0.150   0.000	10.549	13.473	16.387	18.598	21.594	23.234	26.387	28.642	31.758	34.446	41.253	
3 classes, kappa=0.200   0.000	9.233	11.895	14.632	16.694	19.607	21.224	24.202	26.618	29.639	32.264	39.500	
3 classes, kappa=0.250   0.000	7.224	9.800	11.668	13.758	16.114	17.769	20.207	22.925	25.481	28.378	36.034	
3 classes, kappa=0.300   0.000	6.090	8.223	9.782	11.551	13.477	14.998	17.141	19.709	22.158	24.956	32.964	
3 classes, kappa=0.350   0.000	4.456	6.271	7.501	9.011	10.738	12.090	14.040	16.431	18.919	21.554	29.856	
3 classes, kappa=0.400   0.000	3.289	4.636	5.640	6.819	8.215	9.409	11.122	13.247	15.639	18.173	26.558	
3 classes, kappa=0.450   0.000	2.131	3.102	3.876	4.713	5.839	6.808	8.288	10.138	12.466	14.797	23.339	
3 classes, kappa=0.500   0.000	1.367	1.980	2.517	3.183	4.047	4.859	6.115	7.759	9.931	12.077	20.676	
3 classes, kappa=0.550   0.000	0.870	1.271	1.605	2.056	2.686	3.301	4.318	5.601	7.595	9.460	17.845	
3 classes, kappa=0.600   0.000	0.383	0.612	0.849	1.199	1.647	2.130	2.961	3.963	5.711	7.296	15.234	
3 classes, kappa=0.650   0.000	0.329	0.423	0.537	0.722	0.992	1.294	1.889	2.636	4.168	5.513	13.059	
3 classes, kappa=0.700   0.000	0.067	0.132	0.203	0.323	0.503	0.708	1.136	1.693	2.943	4.054	10.928	
3 classes, kappa=0.750   0.000	0.030	0.037	0.084	0.143	0.240	0.365	0.655	1.019	1.989	2.774	8.718	
3 classes, kappa=0.800   0.000	0.026	0.028	0.035	0.051	0.071	0.126	0.253	0.450	1.125	1.635	6.856	
3 classes, kappa=0.850   0.000	0.000	0.004	0.008	0.011	0.027	0.046	0.104	0.219	0.643	0.979	5.011	
3 classes, kappa=0.900   0.000	0.000	0.000	0.000	0.003	0.005	0.011	0.018	0.052	0.247	0.381	3.343	
3 classes, kappa=0.950   0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.005	0.009	0.077	0.133	1.797	
3 classes, kappa=1.000   0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014	0.028	0.624	
